User_type,El_kWh,Duration_hours,month_plugin,weekdays_plugin,KROPPAN BRU,MOHOLTLIA,SELSBAKK,MOHOLT RAMPE 2,Jonsvannsveien vest for Steinanvegen,target,predicted_kWh
Private,0.3,0.05,Dec,Friday,3244,1632,545,194,622,0.3,6.129085
Private,0.87,0.136666667,Dec,Friday,3244,1632,545,194,622,0.87,6.1584163
Private,29.87,8.216388889,Dec,Friday,3605,1691,605,230,771,29.87,9.047945
Private,15.56,24.41972222,Dec,Saturday,3052,1484,453,224,694,15.56,15.144243
Private,3.62,0.970555556,Dec,Monday,1390,693,226,83,353,3.62,10.6784315
Private,16.14,18.07777778,Dec,Monday,984,470,198,52,277,16.14,13.457814
Private,10.33,21.72083333,Dec,Tuesday,1087,511,207,68,262,10.33,13.689241
Private,27.66,6.188055556,Dec,Wednesday,789,385,143,40,149,27.66,11.97775
Private,8.83,2.371111111,Dec,Wednesday,1853,901,337,90,467,8.83,10.015637
Private,8.58,4.856111111,Dec,Saturday,2487,1040,379,162,511,8.58,10.150448
Private,15.95,15.42833333,Dec,Saturday,593,211,114,30,119,15.95,14.671524
Private,3.64,0.981111111,Dec,Sunday,2037,965,388,113,483,3.64,11.245824
Private,9.79,13.45472222,Dec,Sunday,790,324,164,39,179,9.79,15.085165
Private,28.11,24.53388889,Jan,Wednesday,3225,1712,455,194,626,28.11,14.123654
Private,14.64,4.879722222,Jan,Wednesday,1812,948,284,107,433,14.64,11.100873
Private,2.0,16.37472222,Jan,Friday,5164,2897,784,330,1015,2.0,11.577018
Private,29.34,23.24166667,Jan,Saturday,2429,995,368,239,564,29.34,20.113943
Private,14.77,23.58583333,Jan,Saturday,2055,890,347,142,482,14.77,15.154657
Private,10.46,17.28666667,Jan,Saturday,1098,380,187,67,242,10.46,16.137442
Private,3.92,3.479722222,Jan,Sunday,2237,1031,382,115,482,3.92,11.869704
Private,0.08,0.036944444,Jan,Monday,1506,774,288,127,427,0.08,10.112955
Private,6.14,14.0,Jan,Monday,1506,774,288,127,427,6.14,12.391551
Private,5.34,16.55194444,Jan,Tuesday,2068,944,352,132,530,5.34,14.17171
Private,18.7,17.57194444,Jan,Wednesday,4232,2223,629,235,960,18.7,12.204717
Private,10.38,18.33777778,Jan,Wednesday,1772,818,334,125,429,10.38,13.781744
Shared,1.85,0.585,Jan,Wednesday,892,405,183,43,226,1.85,14.617385
Private,0.34,0.056666667,Jan,Wednesday,456,185,96,27,77,0.34,10.966401
Shared,5.1,0.831944444,Jan,Thursday,4212,2233,660,263,916,5.1,10.998391
Private,8.35,18.63138889,Jan,Thursday,443,197,108,23,112,8.35,9.309766
Shared,11.7,1.917777778,Jan,Friday,5180,2903,766,351,1121,11.7,9.367631
Shared,7.28,4.500833333,Jan,Friday,2612,1286,478,159,628,7.28,12.926903
Shared,16.79,14.88722222,Jan,Friday,2234,1034,436,116,505,16.79,16.623716
Shared,14.63,2.374166667,Jan,Friday,1284,535,210,80,253,14.63,14.310329
Shared,5.51,1.576388889,Jan,Saturday,2685,1365,424,178,637,5.51,12.550297
Shared,11.99,1.938611111,Jan,Saturday,2904,1399,445,196,618,11.99,12.349429
Shared,6.56,2.669444444,Jan,Saturday,2952,1366,546,248,672,6.56,12.2803545
Shared,19.0,5.477222222,Jan,Saturday,2952,1366,546,248,672,19.0,13.232167
Private,6.19,24.53638889,Jan,Saturday,2085,870,345,147,503,6.19,15.719122
Private,16.5,16.50194444,Jan,Saturday,800,343,135,43,181,16.5,13.074823
Shared,5.72,3.818055556,Jan,Sunday,1777,771,301,78,479,5.72,17.203274
Shared,14.4,2.879722222,Jan,Sunday,2055,1030,345,107,493,14.4,16.096687
Shared,18.48,3.311944444,Jan,Sunday,2696,1466,437,155,728,18.48,15.734359
Private,13.88,19.77722222,Jan,Sunday,2395,1444,446,128,584,13.88,14.090066
Private,14.21,15.20972222,Jan,Monday,1908,1274,370,132,555,14.21,15.9790945
Shared,27.24,10.74611111,Jan,Monday,1761,1111,373,158,526,27.24,15.160129
Private,4.09,16.47166667,Jan,Monday,1303,631,233,76,325,4.09,13.36029
Private,3.97,1.730555556,Jan,Tuesday,4987,2712,804,266,1048,3.97,6.394281
Private,15.47,13.74833333,Jan,Tuesday,2326,1120,433,156,602,15.47,13.094761
Private,5.29,14.30305556,Jan,Tuesday,2074,1032,374,153,606,5.29,12.677393
Shared,14.61,9.182222222,Jan,Tuesday,909,430,213,52,248,14.61,15.218569
Shared,22.31,11.5975,Jan,Tuesday,486,183,93,18,89,22.31,17.078972
